time,x,y,yaw,desired_heading,heading_error,P,I,D,PID_output,left_vel,right_vel
1.74377e+09,0,2.7156e-312,1.03753e-310,1.55592e-310,5.18397e-311,1.80955e-311,6.5008e-315,7.55552e-312,2.56575e-311,24,24
1.74377e+09,2.70593e-312,2.7156e-312,1.03753e-310,101.63,101.63,35.4755,0.0132985,14.1953,49.6842,70,24
1.74377e+09,6.9687,33.4527,1.03753e-310,-169.896,-169.896,-59.3049,-0.00893733,-52.0946,-111.408,24,70
1.74377e+09,6.9687,33.4527,1.03753e-310,-169.896,-169.896,-59.3049,-0.04448,37.911,-21.4383,38.5617,70
1.74377e+09,6.9687,33.4527,1.03753e-310,-169.896,-169.896,-59.3049,-0.0444735,0,-59.3493,24,70
1.74377e+09,6.9687,33.4527,1.03753e-310,-169.896,-169.896,-59.3049,-0.0444749,0,-59.3493,24,70
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,-0.0207381,25.3218,29.3298,70,30.6702
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302007,-25.346,-21.3143,38.6857,70
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.003022,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302122,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302252,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302056,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302372,0,4.03179,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302161,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302467,0,4.03179,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00301879,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.0030385,0,4.0318,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.0030039,0,4.03177,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302616,0,4.03179,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.0030167,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302226,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302142,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302142,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.0030211,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302253,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302149,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.0030313,0,4.03179,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00301141,0,4.03177,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302144,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302177,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302394,0,4.03179,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00301945,0,4.03178,64.0318,55.9682
1.74377e+09,6.9687,33.4527,178.562,-169.896,11.5416,4.02876,0.00302614,0,4.03179,64.0318,55.9682
1.74377e+09,4.75642,30.1731,178.562,-171.586,9.85197,3.43899,0.0027964,-0.236248,3.20554,63.2055,56.7945
1.74377e+09,5.86256,34.546,178.562,-170.236,11.2015,3.91006,0.00277633,0.421216,4.33406,64.3341,55.6659
1.74377e+09,5.86256,34.546,178.562,-170.236,11.2015,3.91006,0.00291055,-0.189855,3.72312,63.7231,56.2769
1.74377e+09,5.86256,34.546,178.562,-170.236,11.2015,3.91006,0.00293279,0,3.913,63.913,56.087
1.74377e+09,4.75642,33.4527,178.562,-170.973,10.4643,3.65272,0.002836,-0.102938,3.55262,63.5526,56.4474
1.74377e+09,4.75642,33.4527,178.562,-170.973,10.4643,3.65272,0.00273884,0.102963,3.75842,63.7584,56.2416
1.74377e+09,4.75642,33.4527,178.562,-170.973,10.4643,3.65272,0.00274011,0,3.65546,63.6555,56.3445
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00281508,0.0804439,3.9371,63.9371,56.0629
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.0028895,-0.080472,3.77626,63.7763,56.2237
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00290073,0,3.85674,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00288147,0,3.85672,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00290094,0,3.85674,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00288062,0,3.85672,63.8567,56.1433
1.74377e+09,5.86256,33.4527,178.562,-170.397,11.0404,3.85384,0.00289453,0,3.85674,63.8567,56.1433
